he_displaced_threshold_ft,lighted,le_displaced_threshold_ft,le_elevation_ft,airport_ref,le_longitude_deg,surface,airport_ident,he_longitude_deg,width_ft,le_heading_degT,he_latitude_deg,length_ft,he_heading_degT,he_elevation_ft,id,le_ident,he_ident,le_latitude_deg,closed
,0,,,6669,,WATER,02NH,,300,,,3000,,,247920,18W,36W,,0
,0,,,6669,,TURF,02NH,,20,,,20,,,269425,H1,,,0
,0,,,6671,,TURF,02NV,,50,,,2200,,,254643,09,27,,0
,0,,,6672,,TURF,02NY,,25,,,25,,,269426,H1,,,0
,0,,,6673,,TURF,02OH,,50,,,2750,,,256138,09,27,,0
,0,,,6674,,TURF,02OI,,75,,,1500,,,246764,E,W,,0
,0,,,6676,,TURF,02OR,,30,,,2000,,,256203,E,W,,0
,1,,,6677,,TURF-G,02P,,100,,,100,,,269427,H1,,,0
,0,,,6678,,TURF-GRVL,02PA,,50,,,60,,,269428,H1,,,0
,0,,,6679,,ASPH,02PN,,40,,,40,,,269429,H1,,,0
,0,,,6680,,TURF,02PR,,50,,,2000,,,249606,06,24,,0
,0,,,6681,,TURF,02PS,,100,,,500,,,256249,01,19,,0
,0,,,6682,,TURF-G,02SC,,150,,,3600,,,254954,04,22,,0
,0,,,6683,,DIRT-G,02T,,60,,,4050,,,256315,02,20,,0
,0,,,6684,,CONC,02TA,,32,,,32,,,269430,H1,,,0
,1,,,6685,,CONC,02TE,,40,,,40,,,269431,H1,,,0
,0,,,6686,,TURF,02TN,,120,,,1600,,,257585,11,29,,0
240,0,,,6688,,TURF,02TX,,80,,,4800,,,253685,17,35,,0
,0,,,6689,,DIRT,02UT,,30,,,4000,,,256179,07,25,,0
,0,,,6689,,DIRT-P,02UT,,50,,,4000,,,256180,16,34,,0
500,0,,,6690,,TURF,02VA,,80,,,3000,,,247487,18,36,,0
,0,,,6692,,TURF,02WA,,50,,,2650,,,253964,16,34,,0
,0,800,,6693,,TURF,02WI,,60,,,2200,,,253202,18,36,,0
,0,,,6694,,DIRT,02WN,,30,,,1500,,,251734,13,31,,0
